,Security Center, , ,Xem chi tiết Org, , ,Default,Tenant User,Chưa phát triển,Default,Default,Default
,Security Center, , ,Xóa Org, , ,Default,Tenant User,Chưa phát triển,Default,Default,Default
,Security Center, , ,Khóa Org, , ,Default,Tenant User,Chưa phát triển,Default,Default,Default
,Security Center, , ,Tạo License Org, , ,Default,Tenant User,Chưa phát triển,Default,Default,Default
,Security Center, , ,Cập nhật License Org, , ,Default,Tenant User,Chưa phát triển,Default,Default,Default
,Security Center, , ,Thu hồi quota Org, , ,Default,Tenant User,Chưa phát triển,Default,Default,Default
,Security Center, , ,Theo dõi hết hạn license, , ,Default,Default,Chưa phát triển,Default,Default,Default
,Security Center, , ,Xử lý hết hạn license, , ,Default,Default,Chưa phát triển,Default,Default,Default
,Security Center, ,Org Role,List Role, , ,Default,Org User,Chưa phát triển,Default,Default,Default
,Security Center, , ,Create Role, , ,Default,Org User,Chưa phát triển,Default,Default,Default
,Security Center, , ,Edit Role, , ,Default,Org User,Chưa phát triển,Default,Default,Default
,Security Center, , ,Delete Role, , ,Default,Org User,Chưa phát triển,Default,Default,Default
,Security Center, , ,View Detail Role, , ,Default,Org User,Chưa phát triển,Default,Default,Default
,Security Center, ,User,List User, , ,Default,Xem lại sau khi chốt được kiến trúc Multi Tenant,"Đã có, Xem lại sau khi chốt được kiến trúc Multi Tenant",Default,Default,Default
,Security Center, , ,Create User, , ,Default,Xem lại sau khi chốt được kiến trúc Multi Tenant,"Đã có, Xem lại sau khi chốt được kiến trúc Multi Tenant",Default,Default,Default
,Security Center, , ,Edit User, , ,Default,Xem lại sau khi chốt được kiến trúc Multi Tenant,"Đã có, Xem lại sau khi chốt được kiến trúc Multi Tenant",Default,Default,Default
,Security Center, , ,View Detail User, , ,Default,Xem lại sau khi chốt được kiến trúc Multi Tenant,"Đã có, Xem lại sau khi chốt được kiến trúc Multi Tenant",Default,Default,Default
,Security Center, , ,Delete User, , ,Default,Xem lại sau khi chốt được kiến trúc Multi Tenant,"Đã có, Xem lại sau khi chốt được kiến trúc Multi Tenant",Default,Default,Default
,Security Center, , ,Inactive User,,Vô hiệu hóa user,Default,Xem lại sau khi chốt được kiến trúc Multi Tenant,"Chưa phát triển, Xem lại sau khi chốt được kiến trúc Multi Tenant",Default,Default,Default
,Security Center, , ,Reset Password,,Gửi email reset mật khẩu cho user,Default,Xem lại sau khi chốt được kiến trúc Multi Tenant,"Chưa phát triển, Xem lại sau khi chốt được kiến trúc Multi Tenant",Default,Default,Default
,Security Center, , ,Disconnect User,,Ngắt kết nối user từ xa,Default,Xem lại sau khi chốt được kiến trúc Multi Tenant,"Chưa phát triển, Xem lại sau khi chốt được kiến trúc Multi Tenant",Default,Default,Default
,Security Center, , ,Device Control,,Quản lý thiết bị truy cập,Default,Xem lại sau khi chốt được kiến trúc Multi Tenant,"Chưa phát triển, Xem lại sau khi chốt được kiến trúc Multi Tenant",Default,Default,Default
,Security Center, , ,IP Control,,Cấu hình địa chỉ IP được phép truy cập,Default,Xem lại sau khi chốt được kiến trúc Multi Tenant,"Chưa phát triển, Xem lại sau khi chốt được kiến trúc Multi Tenant",Default,Default,Default
,Security Center,Configuration,Data source,Add Data Source, , ,Default, System User,"Đã có, cần hoàn thiện UI, UX",Default,Default,Default
